*** Failures ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
   50 MHz |  360 | -67 dBm | -30 dBm | fbf_2
   70 MHz |  307 | -67 dBm | -30 dBm | fbf_2
   90 MHz |  118 | -67 dBm | -30 dBm | fbf_2
  100 MHz |  312 | -67 dBm | -30 dBm | fbf_2
  140 MHz |  221 | -67 dBm | -30 dBm | fbf_2
  290 MHz |  187 | -67 dBm | -30 dBm | fbf_2
  430 MHz |  248 | -67 dBm | -30 dBm | fbf_2
  470 MHz |   63 | -67 dBm | -30 dBm | fbf_2
  500 MHz |   14 | -67 dBm | -30 dBm | fbf_2
  580 MHz |   33 | -67 dBm | -30 dBm | fbf_2
  770 MHz |  375 | -67 dBm | -30 dBm | fbf_2
  870 MHz |  134 | -67 dBm | -30 dBm | fbf_2
 1040 MHz |  143 | -67 dBm | -30 dBm | fbf_2
 1160 MHz |  429 | -67 dBm | -30 dBm | fbf_2
 1250 MHz |  428 | -67 dBm | -30 dBm | fbf_2
 1260 MHz |   36 | -67 dBm | -30 dBm | fbf_2
 1340 MHz |  178 | -67 dBm | -30 dBm | fbf_2
 1380 MHz |   39 | -67 dBm | -30 dBm | fbf_2
 1490 MHz |  446 | -67 dBm | -30 dBm | fbf_2
 1500 MHz |  422 | -67 dBm | -30 dBm | fbf_2
 1580 MHz |  204 | -67 dBm | -30 dBm | fbf_2
 1610 MHz |  168 | -67 dBm | -30 dBm | fbf_2
 1700 MHz |  221 | -67 dBm | -30 dBm | fbf_2
 1770 MHz |  454 | -67 dBm | -30 dBm | fbf_2
 1800 MHz |  127 | -67 dBm | -30 dBm | fbf_2
 1920 MHz |  454 | -67 dBm | -30 dBm | fbf_2
 1950 MHz |  387 | -67 dBm | -30 dBm | fbf_2
 2036 MHz |  241 | -67 dBm | -35 dBm | fbf_2
 2054 MHz |  269 | -67 dBm | -35 dBm | fbf_2
 2057 MHz |  124 | -67 dBm | -35 dBm | fbf_2
 2063 MHz |  359 | -67 dBm | -35 dBm | fbf_2
 2096 MHz |  389 | -67 dBm | -35 dBm | fbf_2
 2099 MHz |  266 | -67 dBm | -35 dBm | fbf_2
 2150 MHz |  312 | -67 dBm | -35 dBm | fbf_2
 2204 MHz |  241 | -67 dBm | -35 dBm | fbf_2
 2294 MHz |  131 | -67 dBm | -35 dBm | fbf_2
 2297 MHz |  360 | -67 dBm | -35 dBm | fbf_2
 2312 MHz |  421 | -67 dBm | -35 dBm | fbf_2
 2354 MHz |  442 | -67 dBm | -35 dBm | fbf_2
 2375 MHz |  315 | -67 dBm | -35 dBm | fbf_2
 2505 MHz |  458 | -67 dBm | -35 dBm | fbf_2
 2541 MHz |  128 | -67 dBm | -35 dBm | fbf_2
 2550 MHz |  371 | -67 dBm | -35 dBm | fbf_2
 2637 MHz |  312 | -67 dBm | -35 dBm | fbf_2
 2640 MHz |   31 | -67 dBm | -35 dBm | fbf_2
 2655 MHz |  238 | -67 dBm | -35 dBm | fbf_2
 2685 MHz |  301 | -67 dBm | -35 dBm | fbf_2
