*** Failures ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
   30 MHz |  272 | -67 dBm | -30 dBm | fbf_2
  190 MHz |  233 | -67 dBm | -30 dBm | fbf_2
  330 MHz |  188 | -67 dBm | -30 dBm | fbf_2
  420 MHz |  183 | -67 dBm | -30 dBm | fbf_2
  430 MHz |   55 | -67 dBm | -30 dBm | fbf_2
  500 MHz |  376 | -67 dBm | -30 dBm | fbf_2
  550 MHz |  310 | -67 dBm | -30 dBm | fbf_2
  930 MHz |  434 | -67 dBm | -30 dBm | fbf_2
 1180 MHz |   14 | -67 dBm | -30 dBm | fbf_2
 1200 MHz |  308 | -67 dBm | -30 dBm | fbf_2
 1250 MHz |  379 | -67 dBm | -30 dBm | fbf_2
 1460 MHz |   22 | -67 dBm | -30 dBm | fbf_2
 1610 MHz |  243 | -67 dBm | -30 dBm | fbf_2
 1660 MHz |  290 | -67 dBm | -30 dBm | fbf_2
 1820 MHz |  263 | -67 dBm | -30 dBm | fbf_2
 1840 MHz |  307 | -67 dBm | -30 dBm | fbf_2
 1850 MHz |  423 | -67 dBm | -30 dBm | fbf_2
 1910 MHz |  359 | -67 dBm | -30 dBm | fbf_2
 2000 MHz |   86 | -67 dBm | -30 dBm | fbf_2
 2036 MHz |  349 | -67 dBm | -35 dBm | fbf_2
 2039 MHz |  452 | -67 dBm | -35 dBm | fbf_2
 2045 MHz |  178 | -67 dBm | -35 dBm | fbf_2
 2057 MHz |    9 | -67 dBm | -35 dBm | fbf_2
 2069 MHz |  323 | -67 dBm | -35 dBm | fbf_2
 2102 MHz |  365 | -67 dBm | -35 dBm | fbf_2
 2165 MHz |  258 | -67 dBm | -35 dBm | fbf_2
 2177 MHz |  364 | -67 dBm | -35 dBm | fbf_2
 2180 MHz |  239 | -67 dBm | -35 dBm | fbf_2
 2213 MHz |  457 | -67 dBm | -35 dBm | fbf_2
 2246 MHz |  247 | -67 dBm | -35 dBm | fbf_2
 2258 MHz |  228 | -67 dBm | -35 dBm | fbf_2
 2282 MHz |  433 | -67 dBm | -35 dBm | fbf_2
 2318 MHz |   82 | -67 dBm | -35 dBm | fbf_2
 2517 MHz |  108 | -67 dBm | -35 dBm | fbf_2
 2535 MHz |  126 | -67 dBm | -35 dBm | fbf_2
 2538 MHz |   73 | -67 dBm | -35 dBm | fbf_2
 2556 MHz |  456 | -67 dBm | -35 dBm | fbf_2
 2568 MHz |  388 | -67 dBm | -35 dBm | fbf_2
 2673 MHz |  145 | -67 dBm | -35 dBm | fbf_2
 2676 MHz |  276 | -67 dBm | -35 dBm | fbf_2
 2679 MHz |   51 | -67 dBm | -35 dBm | fbf_2
 2685 MHz |  139 | -67 dBm | -35 dBm | fbf_2
 2691 MHz |  412 | -67 dBm | -35 dBm | fbf_2
 2724 MHz |  121 | -67 dBm | -35 dBm | fbf_2
 2766 MHz |   31 | -67 dBm | -35 dBm | fbf_2
 2838 MHz |    9 | -67 dBm | -35 dBm | fbf_2
 2865 MHz |   16 | -67 dBm | -35 dBm | fbf_2
 2877 MHz |   13 | -67 dBm | -35 dBm | fbf_2
 2997 MHz |  304 | -67 dBm | -35 dBm | fbf_2
 3025 MHz |  273 | -67 dBm | -30 dBm | fbf_2
 3125 MHz |  415 | -67 dBm | -30 dBm | fbf_2
 3150 MHz |  326 | -67 dBm | -30 dBm | fbf_2
 3600 MHz |  416 | -67 dBm | -30 dBm | fbf_2
 3725 MHz |  389 | -67 dBm | -30 dBm | fbf_2
 4175 MHz |  404 | -67 dBm | -30 dBm | fbf_2
 4500 MHz |  147 | -67 dBm | -30 dBm | fbf_2
 4775 MHz |  442 | -67 dBm | -30 dBm | fbf_2
 5650 MHz |  267 | -67 dBm | -30 dBm | fbf_2
 5825 MHz |    6 | -67 dBm | -30 dBm | fbf_2
 5975 MHz |  430 | -67 dBm | -30 dBm | fbf_2
 6625 MHz |  154 | -67 dBm | -30 dBm | fbf_2
 6750 MHz |   75 | -67 dBm | -30 dBm | fbf_2
 6900 MHz |  250 | -67 dBm | -30 dBm | fbf_2
 6925 MHz |  254 | -67 dBm | -30 dBm | fbf_2
 7275 MHz |  409 | -67 dBm | -30 dBm | fbf_2
 7425 MHz |  340 | -67 dBm | -30 dBm | fbf_2
 7700 MHz |   54 | -67 dBm | -30 dBm | fbf_2
 7725 MHz |  269 | -67 dBm | -30 dBm | fbf_2
 7950 MHz |   81 | -67 dBm | -30 dBm | fbf_2
 7975 MHz |  270 | -67 dBm | -30 dBm | fbf_2
 8025 MHz |  257 | -67 dBm | -30 dBm | fbf_2
 8425 MHz |  283 | -67 dBm | -30 dBm | fbf_2
 8675 MHz |  272 | -67 dBm | -30 dBm | fbf_2
 8975 MHz |   37 | -67 dBm | -30 dBm | fbf_2
10350 MHz |  275 | -67 dBm | -30 dBm | fbf_2
10425 MHz |  247 | -67 dBm | -30 dBm | fbf_2
10450 MHz |   22 | -67 dBm | -30 dBm | fbf_2
10700 MHz |   62 | -67 dBm | -30 dBm | fbf_2
10875 MHz |  263 | -67 dBm | -30 dBm | fbf_2
11075 MHz |  299 | -67 dBm | -30 dBm | fbf_2
11125 MHz |  156 | -67 dBm | -30 dBm | fbf_2
11200 MHz |  416 | -67 dBm | -30 dBm | fbf_2
11500 MHz |    7 | -67 dBm | -30 dBm | fbf_2
11725 MHz |  350 | -67 dBm | -30 dBm | fbf_2
11850 MHz |   86 | -67 dBm | -30 dBm | fbf_2
11950 MHz |  139 | -67 dBm | -30 dBm | fbf_2
12025 MHz |  146 | -67 dBm | -30 dBm | fbf_2


*** Warnings ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
  110 MHz |  393 | -67 dBm | -30 dBm | fbf_1
  130 MHz |  317 | -67 dBm | -30 dBm | fbf_1
  210 MHz |  375 | -67 dBm | -30 dBm | fbf_1
  240 MHz |  207 | -67 dBm | -30 dBm | fbf_1
  270 MHz |   74 | -67 dBm | -30 dBm | fbf_1
  280 MHz |  352 | -67 dBm | -30 dBm | fbf_1
  290 MHz |  115 | -67 dBm | -30 dBm | fbf_1
  340 MHz |  196 | -67 dBm | -30 dBm | fbf_1
  360 MHz |   66 | -67 dBm | -30 dBm | fbf_1
  380 MHz |   34 | -67 dBm | -30 dBm | fbf_1
  510 MHz |  363 | -67 dBm | -30 dBm | fbf_1
  520 MHz |  174 | -67 dBm | -30 dBm | fbf_1
  540 MHz |   21 | -67 dBm | -30 dBm | fbf_1
  570 MHz |   67 | -67 dBm | -30 dBm | fbf_1
  590 MHz |  237 | -67 dBm | -30 dBm | fbf_1
  650 MHz |   16 | -67 dBm | -30 dBm | fbf_1
  730 MHz |  157 | -67 dBm | -30 dBm | fbf_1
  750 MHz |  355 | -67 dBm | -30 dBm | fbf_1
  760 MHz |  160 | -67 dBm | -30 dBm | fbf_1
  830 MHz |  220 | -67 dBm | -30 dBm | fbf_1
  860 MHz |  232 | -67 dBm | -30 dBm | fbf_1
  980 MHz |  161 | -67 dBm | -30 dBm | fbf_1
 1020 MHz |  336 | -67 dBm | -30 dBm | fbf_1
 1030 MHz |  313 | -67 dBm | -30 dBm | fbf_1
 1070 MHz |  396 | -67 dBm | -30 dBm | fbf_1
 1110 MHz |  313 | -67 dBm | -30 dBm | fbf_1
 1130 MHz |  388 | -67 dBm | -30 dBm | fbf_1
 1140 MHz |  229 | -67 dBm | -30 dBm | fbf_1
 1210 MHz |  431 | -67 dBm | -30 dBm | fbf_1
 1270 MHz |  418 | -67 dBm | -30 dBm | fbf_1
 1290 MHz |  135 | -67 dBm | -30 dBm | fbf_1
 1390 MHz |  127 | -67 dBm | -30 dBm | fbf_1
 1410 MHz |  230 | -67 dBm | -30 dBm | fbf_1
 1430 MHz |  170 | -67 dBm | -30 dBm | fbf_1
 1470 MHz |  456 | -67 dBm | -30 dBm | fbf_1
 1480 MHz |  418 | -67 dBm | -30 dBm | fbf_1
 1510 MHz |  280 | -67 dBm | -30 dBm | fbf_1
 1570 MHz |    9 | -67 dBm | -30 dBm | fbf_1
 1640 MHz |  336 | -67 dBm | -30 dBm | fbf_1
 1670 MHz |   27 | -67 dBm | -30 dBm | fbf_1
 1710 MHz |  260 | -67 dBm | -30 dBm | fbf_1
 1730 MHz |  419 | -67 dBm | -30 dBm | fbf_1
 1770 MHz |  119 | -67 dBm | -30 dBm | fbf_1
 1780 MHz |  179 | -67 dBm | -30 dBm | fbf_1
 1920 MHz |  163 | -67 dBm | -30 dBm | fbf_1
 2003 MHz |  319 | -67 dBm | -35 dBm | fbf_1
 2006 MHz |  304 | -67 dBm | -35 dBm | fbf_1
 2018 MHz |  129 | -67 dBm | -35 dBm | fbf_1
 2054 MHz |  460 | -67 dBm | -35 dBm | fbf_1
 2066 MHz |  124 | -67 dBm | -35 dBm | fbf_1
 2072 MHz |   37 | -67 dBm | -35 dBm | fbf_1
 2099 MHz |   76 | -67 dBm | -35 dBm | fbf_1
 2129 MHz |  385 | -67 dBm | -35 dBm | fbf_1
 2150 MHz |  403 | -67 dBm | -35 dBm | fbf_1
 2159 MHz |   76 | -67 dBm | -35 dBm | fbf_1
 2174 MHz |  303 | -67 dBm | -35 dBm | fbf_1
 2192 MHz |  195 | -67 dBm | -35 dBm | fbf_1
 2195 MHz |  364 | -67 dBm | -35 dBm | fbf_1
 2201 MHz |    8 | -67 dBm | -35 dBm | fbf_1
 2207 MHz |  340 | -67 dBm | -35 dBm | fbf_1
 2216 MHz |  271 | -67 dBm | -35 dBm | fbf_1
 2240 MHz |  362 | -67 dBm | -35 dBm | fbf_1
 2273 MHz |  230 | -67 dBm | -35 dBm | fbf_1
 2297 MHz |  208 | -67 dBm | -35 dBm | fbf_1
 2303 MHz |   88 | -67 dBm | -35 dBm | fbf_1
 2306 MHz |  372 | -67 dBm | -35 dBm | fbf_1
 2312 MHz |  163 | -67 dBm | -35 dBm | fbf_1
 2321 MHz |    7 | -67 dBm | -35 dBm | fbf_1
 2324 MHz |   84 | -67 dBm | -35 dBm | fbf_1
 2348 MHz |  353 | -67 dBm | -35 dBm | fbf_1
 2375 MHz |  115 | -67 dBm | -35 dBm | fbf_1
 2378 MHz |   66 | -67 dBm | -35 dBm | fbf_1
 2381 MHz |  415 | -67 dBm | -35 dBm | fbf_1
 2384 MHz |  382 | -67 dBm | -35 dBm | fbf_1
 2387 MHz |   64 | -67 dBm | -35 dBm | fbf_1
 2390 MHz |  156 | -67 dBm | -35 dBm | fbf_1
 2399 MHz |  103 | -67 dBm | -35 dBm | fbf_1
 2487 MHz |  282 | -67 dBm | -35 dBm | fbf_1
 2505 MHz |  411 | -67 dBm | -35 dBm | fbf_1
 2526 MHz |   48 | -67 dBm | -35 dBm | fbf_1
 2601 MHz |  238 | -67 dBm | -35 dBm | fbf_1
 2610 MHz |  375 | -67 dBm | -35 dBm | fbf_1
 2625 MHz |  124 | -67 dBm | -35 dBm | fbf_1
 2631 MHz |   17 | -67 dBm | -35 dBm | fbf_1
 2646 MHz |  102 | -67 dBm | -35 dBm | fbf_1
 2703 MHz |  138 | -67 dBm | -35 dBm | fbf_1
 2721 MHz |   69 | -67 dBm | -35 dBm | fbf_1
 2727 MHz |  171 | -67 dBm | -35 dBm | fbf_1
 2742 MHz |   40 | -67 dBm | -35 dBm | fbf_1
 2745 MHz |  260 | -67 dBm | -35 dBm | fbf_1
 2748 MHz |  104 | -67 dBm | -35 dBm | fbf_1
 2781 MHz |   70 | -67 dBm | -35 dBm | fbf_1
 2787 MHz |  333 | -67 dBm | -35 dBm | fbf_1
 2790 MHz |  176 | -67 dBm | -35 dBm | fbf_1
 2796 MHz |  150 | -67 dBm | -35 dBm | fbf_1
 2808 MHz |  147 | -67 dBm | -35 dBm | fbf_1
 2823 MHz |  349 | -67 dBm | -35 dBm | fbf_1
 2829 MHz |  262 | -67 dBm | -35 dBm | fbf_1
 2841 MHz |  386 | -67 dBm | -35 dBm | fbf_1
 2856 MHz |  350 | -67 dBm | -35 dBm | fbf_1
 2862 MHz |  343 | -67 dBm | -35 dBm | fbf_1
 2895 MHz |  308 | -67 dBm | -35 dBm | fbf_1
 2898 MHz |  132 | -67 dBm | -35 dBm | fbf_1
 2913 MHz |  400 | -67 dBm | -35 dBm | fbf_1
 2931 MHz |  140 | -67 dBm | -35 dBm | fbf_1
 2934 MHz |  313 | -67 dBm | -35 dBm | fbf_1
 2940 MHz |   53 | -67 dBm | -35 dBm | fbf_1
 2943 MHz |   98 | -67 dBm | -35 dBm | fbf_1
 2949 MHz |   66 | -67 dBm | -35 dBm | fbf_1
 2964 MHz |  168 | -67 dBm | -35 dBm | fbf_1
 2976 MHz |  400 | -67 dBm | -35 dBm | fbf_1
 2982 MHz |  275 | -67 dBm | -35 dBm | fbf_1
 2988 MHz |  414 | -67 dBm | -35 dBm | fbf_1
 2994 MHz |  381 | -67 dBm | -35 dBm | fbf_1
 3100 MHz |  257 | -67 dBm | -30 dBm | fbf_1
 3175 MHz |  116 | -67 dBm | -30 dBm | fbf_1
 3200 MHz |  410 | -67 dBm | -30 dBm | fbf_1
 3375 MHz |  435 | -67 dBm | -30 dBm | fbf_1
 3500 MHz |  413 | -67 dBm | -30 dBm | fbf_1
 3625 MHz |  100 | -67 dBm | -30 dBm | fbf_1
 3700 MHz |  136 | -67 dBm | -30 dBm | fbf_1
 3775 MHz |  292 | -67 dBm | -30 dBm | fbf_1
 3850 MHz |   25 | -67 dBm | -30 dBm | fbf_1
 3950 MHz |   63 | -67 dBm | -30 dBm | fbf_1
 4025 MHz |  414 | -67 dBm | -30 dBm | fbf_1
 4075 MHz |  103 | -67 dBm | -30 dBm | fbf_1
 4125 MHz |   70 | -67 dBm | -30 dBm | fbf_1
 4425 MHz |   84 | -67 dBm | -30 dBm | fbf_1
 4450 MHz |  437 | -67 dBm | -30 dBm | fbf_1
 4475 MHz |  269 | -67 dBm | -30 dBm | fbf_1
 4600 MHz |  221 | -67 dBm | -30 dBm | fbf_1
 4675 MHz |  173 | -67 dBm | -30 dBm | fbf_1
 4750 MHz |  152 | -67 dBm | -30 dBm | fbf_1
 4825 MHz |   55 | -67 dBm | -30 dBm | fbf_1
 4850 MHz |  184 | -67 dBm | -30 dBm | fbf_1
 4875 MHz |   10 | -67 dBm | -30 dBm | fbf_1
 5025 MHz |  177 | -67 dBm | -30 dBm | fbf_1
 5075 MHz |   94 | -67 dBm | -30 dBm | fbf_1
 5575 MHz |  258 | -67 dBm | -30 dBm | fbf_1
 5625 MHz |  128 | -67 dBm | -30 dBm | fbf_1
 5725 MHz |   20 | -67 dBm | -30 dBm | fbf_1
 5750 MHz |   50 | -67 dBm | -30 dBm | fbf_1
 6525 MHz |  138 | -67 dBm | -30 dBm | fbf_1
 6550 MHz |    5 | -67 dBm | -30 dBm | fbf_1
 6650 MHz |  358 | -67 dBm | -30 dBm | fbf_1
 7100 MHz |  441 | -67 dBm | -30 dBm | fbf_1
 7200 MHz |  137 | -67 dBm | -30 dBm | fbf_1
 7250 MHz |  307 | -67 dBm | -30 dBm | fbf_1
 7350 MHz |   59 | -67 dBm | -30 dBm | fbf_1
 7450 MHz |  416 | -67 dBm | -30 dBm | fbf_1
 7525 MHz |  364 | -67 dBm | -30 dBm | fbf_1
 7625 MHz |  200 | -67 dBm | -30 dBm | fbf_1
 7650 MHz |    2 | -67 dBm | -30 dBm | fbf_1
 7750 MHz |  186 | -67 dBm | -30 dBm | fbf_1
 8125 MHz |  371 | -67 dBm | -30 dBm | fbf_1
 8225 MHz |  444 | -67 dBm | -30 dBm | fbf_1
 8250 MHz |  457 | -67 dBm | -30 dBm | fbf_1
 8325 MHz |   81 | -67 dBm | -30 dBm | fbf_1
 8500 MHz |   86 | -67 dBm | -30 dBm | fbf_1
 8600 MHz |  342 | -67 dBm | -30 dBm | fbf_1
 8875 MHz |  357 | -67 dBm | -30 dBm | fbf_1
 9075 MHz |  195 | -67 dBm | -30 dBm | fbf_1
 9150 MHz |   29 | -67 dBm | -30 dBm | fbf_1
 9175 MHz |  337 | -67 dBm | -30 dBm | fbf_1
 9225 MHz |  290 | -67 dBm | -30 dBm | fbf_1
 9250 MHz |  432 | -67 dBm | -30 dBm | fbf_1
 9325 MHz |  129 | -67 dBm | -30 dBm | fbf_1
 9400 MHz |   21 | -67 dBm | -30 dBm | fbf_1
 9475 MHz |  267 | -67 dBm | -30 dBm | fbf_1
 9600 MHz |  192 | -67 dBm | -30 dBm | fbf_1
 9625 MHz |  365 | -67 dBm | -30 dBm | fbf_1
 9650 MHz |   75 | -67 dBm | -30 dBm | fbf_1
 9700 MHz |  113 | -67 dBm | -30 dBm | fbf_1
 9950 MHz |  415 | -67 dBm | -30 dBm | fbf_1
10100 MHz |  169 | -67 dBm | -30 dBm | fbf_1
10125 MHz |  163 | -67 dBm | -30 dBm | fbf_1
10475 MHz |  224 | -67 dBm | -30 dBm | fbf_1
10525 MHz |   22 | -67 dBm | -30 dBm | fbf_1
10575 MHz |   84 | -67 dBm | -30 dBm | fbf_1
10600 MHz |  209 | -67 dBm | -30 dBm | fbf_1
10675 MHz |   74 | -67 dBm | -30 dBm | fbf_1
10775 MHz |  404 | -67 dBm | -30 dBm | fbf_1
10825 MHz |   26 | -67 dBm | -30 dBm | fbf_1
10850 MHz |  171 | -67 dBm | -30 dBm | fbf_1
11325 MHz |  261 | -67 dBm | -30 dBm | fbf_1
11550 MHz |  128 | -67 dBm | -30 dBm | fbf_1
11775 MHz |   24 | -67 dBm | -30 dBm | fbf_1
11900 MHz |  437 | -67 dBm | -30 dBm | fbf_1
11925 MHz |  163 | -67 dBm | -30 dBm | fbf_1
