*** Failures ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
 2129 MHz |    2 | -67 dBm | -35 dBm | fbf_2


*** Warnings ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
  130 MHz |   44 | -67 dBm | -30 dBm | fbf_1
  760 MHz |   13 | -67 dBm | -30 dBm | fbf_1
 1190 MHz |   25 | -67 dBm | -30 dBm | fbf_1
 2045 MHz |   34 | -67 dBm | -35 dBm | fbf_1
 2114 MHz |   16 | -67 dBm | -35 dBm | fbf_1
 2252 MHz |   16 | -67 dBm | -35 dBm | fbf_1
 2529 MHz |   14 | -67 dBm | -35 dBm | fbf_1
 2622 MHz |   26 | -67 dBm | -35 dBm | fbf_1
 2919 MHz |   39 | -67 dBm | -35 dBm | fbf_1
 2955 MHz |    7 | -67 dBm | -35 dBm | fbf_1
 3275 MHz |    9 | -67 dBm | -30 dBm | fbf_1
 4050 MHz |   37 | -67 dBm | -30 dBm | fbf_1
 5800 MHz |   14 | -67 dBm | -30 dBm | fbf_1
 8325 MHz |    9 | -67 dBm | -30 dBm | fbf_1
 8625 MHz |   12 | -67 dBm | -30 dBm | fbf_1
 9525 MHz |   52 | -67 dBm | -30 dBm | fbf_1
 9900 MHz |   38 | -67 dBm | -30 dBm | fbf_1
10800 MHz |   53 | -67 dBm | -30 dBm | fbf_1
12675 MHz |   44 | -67 dBm | -30 dBm | fbf_1


*** All Results ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
   30 MHz | 1374 | -67 dBm | -30 dBm | Pass
   40 MHz | 1392 | -67 dBm | -30 dBm | Pass
   50 MHz |  555 | -67 dBm | -30 dBm | Pass
   60 MHz |  384 | -67 dBm | -30 dBm | Pass
   70 MHz |  475 | -67 dBm | -30 dBm | Pass
   80 MHz |  307 | -67 dBm | -30 dBm | Pass
   90 MHz |  191 | -67 dBm | -30 dBm | Pass
  100 MHz |  318 | -67 dBm | -30 dBm | Pass
  110 MHz |  555 | -67 dBm | -30 dBm | Pass
  120 MHz | 1206 | -67 dBm | -30 dBm | Pass
  130 MHz |   44 | -67 dBm | -30 dBm | fbf_1
  140 MHz |  278 | -67 dBm | -30 dBm | Pass
  150 MHz |  216 | -67 dBm | -30 dBm | Pass
  160 MHz | 1065 | -67 dBm | -30 dBm | Pass
  170 MHz |  677 | -67 dBm | -30 dBm | Pass
  180 MHz |  569 | -67 dBm | -30 dBm | Pass
  190 MHz |  945 | -67 dBm | -30 dBm | Pass
  200 MHz |  178 | -67 dBm | -30 dBm | Pass
  210 MHz | 1424 | -67 dBm | -30 dBm | Pass
  220 MHz |  608 | -67 dBm | -30 dBm | Pass
  230 MHz |  880 | -67 dBm | -30 dBm | Pass
  240 MHz | 1451 | -67 dBm | -30 dBm | Pass
  250 MHz |  292 | -67 dBm | -30 dBm | Pass
  260 MHz |  171 | -67 dBm | -30 dBm | Pass
  270 MHz |  696 | -67 dBm | -30 dBm | Pass
  280 MHz |  875 | -67 dBm | -30 dBm | Pass
  290 MHz | 1015 | -67 dBm | -30 dBm | Pass
  300 MHz |  919 | -67 dBm | -30 dBm | Pass
  310 MHz |  298 | -67 dBm | -30 dBm | Pass
  320 MHz | 1350 | -67 dBm | -30 dBm | Pass
  330 MHz |  561 | -67 dBm | -30 dBm | Pass
  340 MHz |   93 | -67 dBm | -30 dBm | Pass
