*** Failures ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
  200 MHz |   52 | -67 dBm | -30 dBm | fbf_2
  260 MHz |  102 | -67 dBm | -30 dBm | fbf_2
  340 MHz |  273 | -67 dBm | -30 dBm | fbf_2
  430 MHz |  452 | -67 dBm | -30 dBm | fbf_2
  440 MHz |  391 | -67 dBm | -30 dBm | fbf_2
  450 MHz |   32 | -67 dBm | -30 dBm | fbf_2
  470 MHz |   94 | -67 dBm | -30 dBm | fbf_2
  570 MHz |   21 | -67 dBm | -30 dBm | fbf_2
  670 MHz |  387 | -67 dBm | -30 dBm | fbf_2
  820 MHz |  133 | -67 dBm | -30 dBm | fbf_2
  840 MHz |  422 | -67 dBm | -30 dBm | fbf_2
  950 MHz |  327 | -67 dBm | -30 dBm | fbf_2
 1070 MHz |   80 | -67 dBm | -30 dBm | fbf_2
 1290 MHz |  227 | -67 dBm | -30 dBm | fbf_2
 1340 MHz |  405 | -67 dBm | -30 dBm | fbf_2
 1370 MHz |  381 | -67 dBm | -30 dBm | fbf_2
 1400 MHz |   67 | -67 dBm | -30 dBm | fbf_2
 1490 MHz |   26 | -67 dBm | -30 dBm | fbf_2
 1520 MHz |  350 | -67 dBm | -30 dBm | fbf_2
 1620 MHz |  339 | -67 dBm | -30 dBm | fbf_2
 1650 MHz |   66 | -67 dBm | -30 dBm | fbf_2
 1690 MHz |  273 | -67 dBm | -30 dBm | fbf_2
 1740 MHz |   36 | -67 dBm | -30 dBm | fbf_2
 1880 MHz |   93 | -67 dBm | -30 dBm | fbf_2
 2027 MHz |  170 | -67 dBm | -35 dBm | fbf_2
 2033 MHz |  116 | -67 dBm | -35 dBm | fbf_2
 2057 MHz |  279 | -67 dBm | -35 dBm | fbf_2
 2060 MHz |  225 | -67 dBm | -35 dBm | fbf_2
 2063 MHz |  332 | -67 dBm | -35 dBm | fbf_2
 2084 MHz |  274 | -67 dBm | -35 dBm | fbf_2
 2102 MHz |   63 | -67 dBm | -35 dBm | fbf_2
 2150 MHz |  156 | -67 dBm | -35 dBm | fbf_2
 2192 MHz |  335 | -67 dBm | -35 dBm | fbf_2
 2207 MHz |   83 | -67 dBm | -35 dBm | fbf_2
 2219 MHz |  239 | -67 dBm | -35 dBm | fbf_2
 2306 MHz |  201 | -67 dBm | -35 dBm | fbf_2
 2342 MHz |  386 | -67 dBm | -35 dBm | fbf_2
 2351 MHz |  210 | -67 dBm | -35 dBm | fbf_2
 2366 MHz |  422 | -67 dBm | -35 dBm | fbf_2
 2387 MHz |  438 | -67 dBm | -35 dBm | fbf_2
 2514 MHz |   69 | -67 dBm | -35 dBm | fbf_2
 2520 MHz |  304 | -67 dBm | -35 dBm | fbf_2
 2613 MHz |  402 | -67 dBm | -35 dBm | fbf_2
 2667 MHz |   83 | -67 dBm | -35 dBm | fbf_2
 2754 MHz |  236 | -67 dBm | -35 dBm | fbf_2
 2778 MHz |  420 | -67 dBm | -35 dBm | fbf_2
 2808 MHz |  381 | -67 dBm | -35 dBm | fbf_2
 2811 MHz |  196 | -67 dBm | -35 dBm | fbf_2
 2904 MHz |  122 | -67 dBm | -35 dBm | fbf_2
 2916 MHz |   56 | -67 dBm | -35 dBm | fbf_2
 2931 MHz |  355 | -67 dBm | -35 dBm | fbf_2
 2952 MHz |  123 | -67 dBm | -35 dBm | fbf_2
 2961 MHz |  277 | -67 dBm | -35 dBm | fbf_2
 2970 MHz |  406 | -67 dBm | -35 dBm | fbf_2
 2994 MHz |   51 | -67 dBm | -35 dBm | fbf_2
 3525 MHz |  303 | -67 dBm | -30 dBm | fbf_2
 4100 MHz |  266 | -67 dBm | -30 dBm | fbf_2
 4325 MHz |  157 | -67 dBm | -30 dBm | fbf_2
 4425 MHz |  458 | -67 dBm | -30 dBm | fbf_2
 4475 MHz |  354 | -67 dBm | -30 dBm | fbf_2
 4650 MHz |  113 | -67 dBm | -30 dBm | fbf_2
 4950 MHz |  395 | -67 dBm | -30 dBm | fbf_2
 5075 MHz |  445 | -67 dBm | -30 dBm | fbf_2
 5150 MHz |   52 | -67 dBm | -30 dBm | fbf_2
 5575 MHz |  141 | -67 dBm | -30 dBm | fbf_2
 5700 MHz |  418 | -67 dBm | -30 dBm | fbf_2
 5800 MHz |  411 | -67 dBm | -30 dBm | fbf_2
 5850 MHz |  238 | -67 dBm | -30 dBm | fbf_2
 5950 MHz |  172 | -67 dBm | -30 dBm | fbf_2
 6475 MHz |  382 | -67 dBm | -30 dBm | fbf_2
 6625 MHz |  129 | -67 dBm | -30 dBm | fbf_2
 7400 MHz |  265 | -67 dBm | -30 dBm | fbf_2
 7750 MHz |  145 | -67 dBm | -30 dBm | fbf_2
 7775 MHz |  386 | -67 dBm | -30 dBm | fbf_2
 7850 MHz |  314 | -67 dBm | -30 dBm | fbf_2
 8025 MHz |   93 | -67 dBm | -30 dBm | fbf_2
 8325 MHz |   48 | -67 dBm | -30 dBm | fbf_2
 8700 MHz |  299 | -67 dBm | -30 dBm | fbf_2
 8800 MHz |  212 | -67 dBm | -30 dBm | fbf_2
 8850 MHz |  330 | -67 dBm | -30 dBm | fbf_2
 9075 MHz |    6 | -67 dBm | -30 dBm | fbf_2
 9950 MHz |  345 | -67 dBm | -30 dBm | fbf_2
10175 MHz |    1 | -67 dBm | -30 dBm | fbf_2
10275 MHz |  385 | -67 dBm | -30 dBm | fbf_2
10375 MHz |  297 | -67 dBm | -30 dBm | fbf_2
10800 MHz |  213 | -67 dBm | -30 dBm | fbf_2
11000 MHz |  239 | -67 dBm | -30 dBm | fbf_2
11600 MHz |  113 | -67 dBm | -30 dBm | fbf_2
11625 MHz |  143 | -67 dBm | -30 dBm | fbf_2
11675 MHz |  304 | -67 dBm | -30 dBm | fbf_2
11700 MHz |  351 | -67 dBm | -30 dBm | fbf_2
11925 MHz |  405 | -67 dBm | -30 dBm | fbf_2
12575 MHz |  331 | -67 dBm | -30 dBm | fbf_2
12700 MHz |  383 | -67 dBm | -30 dBm | fbf_2


*** Warnings ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
   40 MHz |  461 | -67 dBm | -30 dBm | fbf_1
   90 MHz |  449 | -67 dBm | -30 dBm | fbf_1
  120 MHz |  381 | -67 dBm | -30 dBm | fbf_1
  140 MHz |    2 | -67 dBm | -30 dBm | fbf_1
  150 MHz |  425 | -67 dBm | -30 dBm | fbf_1
  180 MHz |  160 | -67 dBm | -30 dBm | fbf_1
  250 MHz |  340 | -67 dBm | -30 dBm | fbf_1
  310 MHz |  329 | -67 dBm | -30 dBm | fbf_1
  380 MHz |  235 | -67 dBm | -30 dBm | fbf_1
  460 MHz |  305 | -67 dBm | -30 dBm | fbf_1
  490 MHz |  373 | -67 dBm | -30 dBm | fbf_1
  500 MHz |  231 | -67 dBm | -30 dBm | fbf_1
  620 MHz |  268 | -67 dBm | -30 dBm | fbf_1
  690 MHz |  197 | -67 dBm | -30 dBm | fbf_1
  730 MHz |  176 | -67 dBm | -30 dBm | fbf_1
  770 MHz |  118 | -67 dBm | -30 dBm | fbf_1
  800 MHz |  198 | -67 dBm | -30 dBm | fbf_1
  870 MHz |  272 | -67 dBm | -30 dBm | fbf_1
  900 MHz |  373 | -67 dBm | -30 dBm | fbf_1
  960 MHz |  110 | -67 dBm | -30 dBm | fbf_1
  980 MHz |  448 | -67 dBm | -30 dBm | fbf_1
 1040 MHz |  189 | -67 dBm | -30 dBm | fbf_1
 1110 MHz |   75 | -67 dBm | -30 dBm | fbf_1
 1190 MHz |  190 | -67 dBm | -30 dBm | fbf_1
 1210 MHz |  172 | -67 dBm | -30 dBm | fbf_1
 1310 MHz |  232 | -67 dBm | -30 dBm | fbf_1
 1320 MHz |  414 | -67 dBm | -30 dBm | fbf_1
 1350 MHz |  221 | -67 dBm | -30 dBm | fbf_1
 1380 MHz |   76 | -67 dBm | -30 dBm | fbf_1
 1420 MHz |  120 | -67 dBm | -30 dBm | fbf_1
 1510 MHz |  316 | -67 dBm | -30 dBm | fbf_1
 1610 MHz |  281 | -67 dBm | -30 dBm | fbf_1
 1760 MHz |  288 | -67 dBm | -30 dBm | fbf_1
 1810 MHz |   86 | -67 dBm | -30 dBm | fbf_1
 1940 MHz |  445 | -67 dBm | -30 dBm | fbf_1
 1960 MHz |  239 | -67 dBm | -30 dBm | fbf_1
 1980 MHz |  287 | -67 dBm | -30 dBm | fbf_1
 2021 MHz |  222 | -67 dBm | -35 dBm | fbf_1
 2045 MHz |  359 | -67 dBm | -35 dBm | fbf_1
