*** Failures ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results


*** Warnings ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
  380 MHz |   37 | -67 dBm | -30 dBm | fbf_1
  750 MHz |    0 | -67 dBm | -30 dBm | fbf_1
  800 MHz |   29 | -67 dBm | -30 dBm | fbf_1
 1310 MHz |   16 | -67 dBm | -30 dBm | fbf_1
 1350 MHz |    6 | -67 dBm | -30 dBm | fbf_1
 1670 MHz |   37 | -67 dBm | -30 dBm | fbf_1
 2006 MHz |   12 | -67 dBm | -35 dBm | fbf_1
 2018 MHz |   18 | -67 dBm | -35 dBm | fbf_1
 2120 MHz |    7 | -67 dBm | -35 dBm | fbf_1
 2297 MHz |   27 | -67 dBm | -35 dBm | fbf_1
 2487 MHz |   25 | -67 dBm | -35 dBm | fbf_1
 2577 MHz |   31 | -67 dBm | -35 dBm | fbf_1
 2895 MHz |   22 | -67 dBm | -35 dBm | fbf_1
 2907 MHz |    7 | -67 dBm | -35 dBm | fbf_1
 3200 MHz |   27 | -67 dBm | -30 dBm | fbf_1
 3525 MHz |   12 | -67 dBm | -30 dBm | fbf_1
 4375 MHz |   27 | -67 dBm | -30 dBm | fbf_1
 4400 MHz |    2 | -67 dBm | -30 dBm | fbf_1
 4750 MHz |   25 | -67 dBm | -30 dBm | fbf_1
 6225 MHz |   34 | -67 dBm | -30 dBm | fbf_1
 8375 MHz |   28 | -67 dBm | -30 dBm | fbf_1
 8625 MHz |   20 | -67 dBm | -30 dBm | fbf_1
 8750 MHz |    5 | -67 dBm | -30 dBm | fbf_1
 9475 MHz |   26 | -67 dBm | -30 dBm | fbf_1
12625 MHz |   23 | -67 dBm | -30 dBm | fbf_1
12750 MHz |    7 | -67 dBm | -30 dBm | fbf_1


*** All Results ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
   30 MHz |  985 | -67 dBm | -30 dBm | Pass
   40 MHz | 1014 | -67 dBm | -30 dBm | Pass
   50 MHz |  794 | -67 dBm | -30 dBm | Pass
   60 MHz |  770 | -67 dBm | -30 dBm | Pass
   70 MHz |  955 | -67 dBm | -30 dBm | Pass
   80 MHz |  971 | -67 dBm | -30 dBm | Pass
   90 MHz |  528 | -67 dBm | -30 dBm | Pass
  100 MHz | 1312 | -67 dBm | -30 dBm | Pass
  110 MHz | 1362 | -67 dBm | -30 dBm | Pass
  120 MHz |  352 | -67 dBm | -30 dBm | Pass
  130 MHz | 1381 | -67 dBm | -30 dBm | Pass
  140 MHz |  206 | -67 dBm | -30 dBm | Pass
  150 MHz |  849 | -67 dBm | -30 dBm | Pass
  160 MHz |  941 | -67 dBm | -30 dBm | Pass
  170 MHz |  253 | -67 dBm | -30 dBm | Pass
  180 MHz |  127 | -67 dBm | -30 dBm | Pass
  190 MHz |  312 | -67 dBm | -30 dBm | Pass
  200 MHz |  609 | -67 dBm | -30 dBm | Pass
  210 MHz |  731 | -67 dBm | -30 dBm | Pass
  220 MHz | 1223 | -67 dBm | -30 dBm | Pass
  230 MHz |  628 | -67 dBm | -30 dBm | Pass
  240 MHz |  909 | -67 dBm | -30 dBm | Pass
