*** Failures ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
  150 MHz |   11 | -67 dBm | -30 dBm | fbf_2
  240 MHz |   90 | -67 dBm | -30 dBm | fbf_2
  270 MHz |  302 | -67 dBm | -30 dBm | fbf_2
  330 MHz |   60 | -67 dBm | -30 dBm | fbf_2
  540 MHz |  298 | -67 dBm | -30 dBm | fbf_2
  810 MHz |   81 | -67 dBm | -30 dBm | fbf_2
  880 MHz |  442 | -67 dBm | -30 dBm | fbf_2
  900 MHz |  242 | -67 dBm | -30 dBm | fbf_2
 1010 MHz |  366 | -67 dBm | -30 dBm | fbf_2
 1040 MHz |   19 | -67 dBm | -30 dBm | fbf_2
 1060 MHz |   92 | -67 dBm | -30 dBm | fbf_2
 1110 MHz |  301 | -67 dBm | -30 dBm | fbf_2
 1140 MHz |  364 | -67 dBm | -30 dBm | fbf_2
 1170 MHz |  109 | -67 dBm | -30 dBm | fbf_2
 1340 MHz |  173 | -67 dBm | -30 dBm | fbf_2
 1360 MHz |  234 | -67 dBm | -30 dBm | fbf_2
 1430 MHz |  233 | -67 dBm | -30 dBm | fbf_2
 1460 MHz |  373 | -67 dBm | -30 dBm | fbf_2
 1500 MHz |   47 | -67 dBm | -30 dBm | fbf_2
 1540 MHz |  107 | -67 dBm | -30 dBm | fbf_2
 1580 MHz |   72 | -67 dBm | -30 dBm | fbf_2
 1600 MHz |  321 | -67 dBm | -30 dBm | fbf_2
 1640 MHz |  176 | -67 dBm | -30 dBm | fbf_2
 1950 MHz |  433 | -67 dBm | -30 dBm | fbf_2
 2063 MHz |  457 | -67 dBm | -35 dBm | fbf_2
 2108 MHz |    6 | -67 dBm | -35 dBm | fbf_2
 2147 MHz |  200 | -67 dBm | -35 dBm | fbf_2
 2168 MHz |  118 | -67 dBm | -35 dBm | fbf_2
 2180 MHz |  208 | -67 dBm | -35 dBm | fbf_2
 2231 MHz |  151 | -67 dBm | -35 dBm | fbf_2
 2243 MHz |  326 | -67 dBm | -35 dBm | fbf_2
 2291 MHz |  387 | -67 dBm | -35 dBm | fbf_2
 2303 MHz |  129 | -67 dBm | -35 dBm | fbf_2
 2330 MHz |  288 | -67 dBm | -35 dBm | fbf_2
 2505 MHz |  241 | -67 dBm | -35 dBm | fbf_2
