*** Failures ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
   30 MHz |   88 | -67 dBm | -30 dBm | fbf_2
   90 MHz |   76 | -67 dBm | -30 dBm | fbf_2
  290 MHz |  282 | -67 dBm | -30 dBm | fbf_2
  310 MHz |  387 | -67 dBm | -30 dBm | fbf_2
  420 MHz |  168 | -67 dBm | -30 dBm | fbf_2
  440 MHz |  253 | -67 dBm | -30 dBm | fbf_2
  490 MHz |  117 | -67 dBm | -30 dBm | fbf_2
  590 MHz |  119 | -67 dBm | -30 dBm | fbf_2
  620 MHz |  126 | -67 dBm | -30 dBm | fbf_2
  730 MHz |  438 | -67 dBm | -30 dBm | fbf_2
  780 MHz |  226 | -67 dBm | -30 dBm | fbf_2
  880 MHz |  319 | -67 dBm | -30 dBm | fbf_2
  910 MHz |  228 | -67 dBm | -30 dBm | fbf_2
 1000 MHz |  428 | -67 dBm | -30 dBm | fbf_2
 1110 MHz |  255 | -67 dBm | -30 dBm | fbf_2
 1120 MHz |  445 | -67 dBm | -30 dBm | fbf_2
 1130 MHz |  239 | -67 dBm | -30 dBm | fbf_2
 1150 MHz |  329 | -67 dBm | -30 dBm | fbf_2
 1160 MHz |  134 | -67 dBm | -30 dBm | fbf_2
 1170 MHz |   75 | -67 dBm | -30 dBm | fbf_2
 1280 MHz |  378 | -67 dBm | -30 dBm | fbf_2
 1330 MHz |  160 | -67 dBm | -30 dBm | fbf_2
 1400 MHz |  168 | -67 dBm | -30 dBm | fbf_2
 1470 MHz |  325 | -67 dBm | -30 dBm | fbf_2
 1720 MHz |  452 | -67 dBm | -30 dBm | fbf_2
 1780 MHz |   94 | -67 dBm | -30 dBm | fbf_2
 1840 MHz |  391 | -67 dBm | -30 dBm | fbf_2
 1890 MHz |  127 | -67 dBm | -30 dBm | fbf_2
 1990 MHz |   81 | -67 dBm | -30 dBm | fbf_2
 2048 MHz |  380 | -67 dBm | -35 dBm | fbf_2
 2051 MHz |  275 | -67 dBm | -35 dBm | fbf_2
 2063 MHz |   10 | -67 dBm | -35 dBm | fbf_2
 2084 MHz |  174 | -67 dBm | -35 dBm | fbf_2
 2132 MHz |  188 | -67 dBm | -35 dBm | fbf_2
 2183 MHz |  426 | -67 dBm | -35 dBm | fbf_2
 2264 MHz |   39 | -67 dBm | -35 dBm | fbf_2
 2306 MHz |  460 | -67 dBm | -35 dBm | fbf_2
 2378 MHz |  325 | -67 dBm | -35 dBm | fbf_2
 2502 MHz |  232 | -67 dBm | -35 dBm | fbf_2
 2574 MHz |  355 | -67 dBm | -35 dBm | fbf_2
 2643 MHz |  283 | -67 dBm | -35 dBm | fbf_2
 2694 MHz |  163 | -67 dBm | -35 dBm | fbf_2
 2703 MHz |  118 | -67 dBm | -35 dBm | fbf_2
 2745 MHz |   63 | -67 dBm | -35 dBm | fbf_2
 2748 MHz |  124 | -67 dBm | -35 dBm | fbf_2
 2820 MHz |  269 | -67 dBm | -35 dBm | fbf_2
 2823 MHz |  153 | -67 dBm | -35 dBm | fbf_2
 2847 MHz |  151 | -67 dBm | -35 dBm | fbf_2
 2889 MHz |  272 | -67 dBm | -35 dBm | fbf_2
 2970 MHz |  271 | -67 dBm | -35 dBm | fbf_2
 2982 MHz |  409 | -67 dBm | -35 dBm | fbf_2
 3100 MHz |   52 | -67 dBm | -30 dBm | fbf_2
 3200 MHz |  162 | -67 dBm | -30 dBm | fbf_2
 3600 MHz |  354 | -67 dBm | -30 dBm | fbf_2
 3825 MHz |  125 | -67 dBm | -30 dBm | fbf_2
 3925 MHz |  204 | -67 dBm | -30 dBm | fbf_2
 4000 MHz |  286 | -67 dBm | -30 dBm | fbf_2
 4200 MHz |  158 | -67 dBm | -30 dBm | fbf_2
 4275 MHz |  100 | -67 dBm | -30 dBm | fbf_2
 4475 MHz |  200 | -67 dBm | -30 dBm | fbf_2
 4875 MHz |   32 | -67 dBm | -30 dBm | fbf_2
 5125 MHz |  206 | -67 dBm | -30 dBm | fbf_2
 6025 MHz |   71 | -67 dBm | -30 dBm | fbf_2
 6400 MHz |  426 | -67 dBm | -30 dBm | fbf_2
 6550 MHz |   62 | -67 dBm | -30 dBm | fbf_2
 6600 MHz |    5 | -67 dBm | -30 dBm | fbf_2
 6725 MHz |  243 | -67 dBm | -30 dBm | fbf_2
 7075 MHz |  344 | -67 dBm | -30 dBm | fbf_2
 7100 MHz |  377 | -67 dBm | -30 dBm | fbf_2
 7225 MHz |   79 | -67 dBm | -30 dBm | fbf_2
 7250 MHz |  123 | -67 dBm | -30 dBm | fbf_2
 7650 MHz |  409 | -67 dBm | -30 dBm | fbf_2
 7700 MHz |  195 | -67 dBm | -30 dBm | fbf_2
 7850 MHz |  215 | -67 dBm | -30 dBm | fbf_2
 9200 MHz |  184 | -67 dBm | -30 dBm | fbf_2
 9350 MHz |  457 | -67 dBm | -30 dBm | fbf_2
 9500 MHz |  163 | -67 dBm | -30 dBm | fbf_2
10000 MHz |  395 | -67 dBm | -30 dBm | fbf_2
10125 MHz |  273 | -67 dBm | -30 dBm | fbf_2
10575 MHz |  224 | -67 dBm | -30 dBm | fbf_2
10925 MHz |   88 | -67 dBm | -30 dBm | fbf_2
10975 MHz |  209 | -67 dBm | -30 dBm | fbf_2
11225 MHz |   73 | -67 dBm | -30 dBm | fbf_2
11375 MHz |  238 | -67 dBm | -30 dBm | fbf_2
11700 MHz |   11 | -67 dBm | -30 dBm | fbf_2
12125 MHz |  192 | -67 dBm | -30 dBm | fbf_2
12500 MHz |  121 | -67 dBm | -30 dBm | fbf_2


*** Warnings ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
   40 MHz |  189 | -67 dBm | -30 dBm | fbf_1
   60 MHz |  357 | -67 dBm | -30 dBm | fbf_1
